Metric,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,17.7,17.7,17.7,17.7,17.7,17.7,
debt_to_equity,0.02,0.02,0.02,0.02,0.02,0.02,
operating_profit_margin_pct,9.61,14.88,25.5,37.89,79.24,33.01,26.65
free_cash_flow_cr,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,
interest_coverage,1.58,3.42,10.84,45.94,133.93,85.97,452.52
asset_turnover,0.88,0.88,0.88,0.88,0.88,0.88,
earnings_per_share,6.0,15.5,43.0,73.0,156.2,78.99,129.48
dividend_payout_ratio_pct,1.6,4.0,8.0,12.0,14.4,8.0,11.31
cash_from_operations_cr,1670.0,1670.0,1670.0,1670.0,1670.0,1670.0,
net_profit_margin_pct,3.63,7.19,13.45,20.79,27.83,19.29,43.29
